"id","issue_url","pr_url","link_time","user","is_link"
"61","https://github.com/facebook/react/issues/11423","https://github.com/facebook/react/pull/13537","2/9/2018 13:59:50","Ephem","1"
"62","https://github.com/facebook/react/issues/1144","https://github.com/facebook/react/pull/1193","27/2/2014 20:32:37","sophiebits","1"
"63","https://github.com/facebook/react/issues/1147","https://github.com/facebook/react/pull/1157","21/2/2014 23:44:20","sophiebits","1"
"64","https://github.com/facebook/react/issues/1147","https://github.com/facebook/react/pull/1363","7/4/2014 02:00:58","sophiebits","1"
"65","https://github.com/facebook/react/issues/11478","https://github.com/facebook/react/pull/11487","8/11/2017 02:38:51","monkindey","1"
"66","https://github.com/facebook/react/issues/11481","https://github.com/facebook/react/pull/11504","9/11/2017 16:06:18","bvaughn","1"
"67","https://github.com/facebook/react/issues/11519","https://github.com/facebook/react/pull/12059","20/1/2018 19:53:59","billyjanitsch","1"
"68","https://github.com/facebook/react/issues/11526","https://github.com/facebook/react/pull/11531","11/11/2017 21:40:37","travi","1"
"69","https://github.com/facebook/react/issues/11538","https://github.com/facebook/react/pull/13341","7/8/2018 12:03:36","gaearon","1"
"70","https://github.com/facebook/react/issues/1154","https://github.com/facebook/react/pull/1156","21/2/2014 22:24:14","chenglou","1"
"71","https://github.com/facebook/react/issues/11596","https://github.com/facebook/react/pull/12166","6/2/2018 18:06:10","cramaechi","1"
"72","https://github.com/facebook/react/issues/11602","https://github.com/facebook/react/pull/12088","24/1/2018 19:11:30","t4deu","1"
"73","https://github.com/facebook/react/issues/11609","https://github.com/facebook/react/pull/12505","31/3/2018 13:57:16","nhunzaker","1"
"74","https://github.com/facebook/react/issues/11619","https://github.com/facebook/react/pull/18315","15/3/2020 15:25:24","bl00mber","1"
"75","https://github.com/facebook/react/issues/1164","https://github.com/facebook/react/pull/1394","10/4/2014 05:53:38","sophiebits","1"
"76","https://github.com/facebook/react/issues/11656","https://github.com/facebook/react/pull/13407","15/8/2018 14:58:58","gaearon","1"
"77","https://github.com/facebook/react/issues/11657","https://github.com/facebook/react/pull/11666","26/11/2017 17:08:21","gaearon","1"
"78","https://github.com/facebook/react/issues/11687","https://github.com/facebook/react/pull/11696","28/11/2017 23:10:31","ConradIrwin","1"
"79","https://github.com/facebook/react/issues/1169","https://github.com/facebook/react/pull/1536","15/5/2014 18:14:06","sophiebits","1"
"80","https://github.com/facebook/react/issues/1169","https://github.com/facebook/react/pull/3246","23/2/2015 23:00:29","sophiebits","1"
